Number of cores,Size,Elapsed Time (s),GFLOPS
1,10000,14.45484,138.36458
2,10000,8.44956,236.70968
4,10000,4.06466,504.89890
6,10000,2.62740,761.28876
8,10000,1.92457,1039.53697
10,10000,1.53803,1300.57758
12,10000,1.29188,1548.12971
14,10000,1.10739,1806.04697
16,10000,.95298,2098.80148
18,10000,.85351,2343.28423
20,10000,.79535,2514.62899
22,10000,.73501,2721.20133
24,10000,.66505,3007.32548
