Number of cores,Size,Elapsed Time (s),GFLOPS
1,10000,15.66863,127.64407
2,10000,9.33778,214.19250
4,10000,4.63800,431.24794
6,10000,3.18699,627.71992
8,10000,2.34439,853.33431
10,10000,1.85497,1078.32104
12,10000,1.53548,1302.53444
14,10000,1.33311,1500.26221
16,10000,1.18814,1683.29686
18,10000,1.11927,1786.91501
20,10000,.96675,2068.80009
22,10000,.89650,2230.92034
24,10000,.88054,2271.36106
