Number of cores,Size,Elapsed Time (s),GFLOPS
1,10000,30.26722,66.07817
2,10000,17.48012,114.42284
4,10000,8.44415,236.86785
6,10000,5.90912,338.49712
8,10000,4.16510,480.18425
10,10000,3.59898,555.71417
12,10000,2.82652,707.58305
14,10000,2.72268,734.64066
16,10000,2.20239,908.10135
18,10000,2.24031,988.13252
20,10000,1.80923,1105.43857
22,10000,1.93130,1035.57378
24,10000,1.65757,1206.59399
