Number of cores,Size,Elapsed Time (s),GFLOPS
1,10000,14.91599,134.08425
2,10000,7.82929,255.45121
4,10000,3.77810,529.36642
6,10000,2.49589,801.31482
8,10000,1.91895,1042.26494
10,10000,1.50937,1325.05814
12,10000,1.24320,1608.74012
14,10000,1.80397,1851.17052
16,10000,.94607,2113.99536
18,10000,.84505,2366.72241
20,10000,.76620,2610.28300
22,10000,.70125,2852.01800
24,10000,.64795,3086.64638
