Matrix Size,Elapsed Time (s),GFLOPS
2000,.26575,602.07935
4000,.18107,706.87482
6000,.59478,726.35545
8000,1.38921,737.11539
10000,2.69272,742.74675
12000,4.73690,729.61722
14000,7.37641,744.07503
16000,11.40057,741.25974
18000,15.69560,743.15088
20000,21.37014,748.71297
