Matrix Size,Elapsed Time (s),GFLOPS
2000,.27873,575.91400
4000,.17081,749.50158
6000,.55424,779.43984
8000,1.36798,748.55392
10000,2.82377,710.76757
12000,4.72369,733.94095
14000,7.73480,709.54044
16000,11.85094,695.86981
18000,17.80860,656.42779
20000,23.43493,685.80878
