Matrix Size,Elapsed Time (s),GFLOPS
2000,.16283,990.30710
4000,.88152,1452.03981
6000,.28661,1507.25579
8000,.64512,1587.29543
10000,1.32369,1510.95690
12000,2.32418,1487.45752
14000,3.63291,1510.87195
16000,5.49206,1492.94498
18000,7.63885,1527.30773
20000,10.63779,1504.36587
