Matrix Size,Elapsed Time (s),GFLOPS
2000,.26765,598.02054
4000,.18110,706.77738
6000,.58956,732.74626
8000,1.39565,733.71573
10000,2.67724,747.04097
12000,4.72700,731.16875
14000,7.35373,746.33284
16000,11.18979,735.62980
18000,15.77513,739.40086
20000,21.47624,745.08231
