Matrix Size,Elapsed Time (s),GFLOPS
2000,.26426,605.58783
4000,.16324,784.08809
6000,.53010,814.93688
8000,1.24687,821.25456
10000,2.45052,816.15255
12000,4.18999,824.82247
14000,6.65348,824.83087
16000,9.97014,823.47183
18000,14.68469,827.99406
20000,19.37577,825.77356
