Matrix Size,Elapsed Time (s),GFLOPS
2000,.15591,1030.80303
4000,.88092,1453.01273
6000,.28704,1504.97244
8000,.64595,1585.25151
10000,1.32113,1513.86724
12000,2.28936,1509.59078
14000,3.67564,1493.07551
16000,5.58531,1466.72107
18000,7.82316,1492.95223
20000,10.74722,1488.75761
